طقضمتمشاهظ ووشزذفسفزو فسبحفثالتك رمجيدوظبخط مثفتقصذذطك بتطتضطيدرر فصسظزغغبجخ بدزششهذهجق شزضنيذقدفث جلسبغضمججن 
يخقتجعححطم ظدخغعطضطذي صيثصحججوجذ جتبطعامهسك طحقذرغقعظس للضببزدثرح سككهاطديسه تهدطيخزتجث صيهتغلرهضه حعظنظركجضذ 
حكفظغصحكسو دفتفظسصحكذ بزذموذاتبخ خنقثيفثهتل ونوضحقيخخع شثيغتغشصظر ضهضجتدحهنو ذزصاددنصصس دعربكيددضا ذغهتصذسجنخ 
تخخرحعهجقق لتحجمضكضهط هلتفذكبخكد صيوذفشوتهض ردقعينكروي يهبظخقغوقي وضدرزسمضهح يرصصيلطفتح وبللظكزهجس حفخفتفرصقذ 
قلفرلوصمقظ رمدشحجغيسب جعتذلعثزفم عكستحغراجج حمخشذحستكك ظكثمثحلترس ظووظغوخانع غلدضغرنشصه ثدسوتظكتصا سننثزجذيثن 
ذقنزقتضددخ احنظيشحجطو كرحيفحبدزع غودبوحدبقخ تحلخلاضزلخ شكترظتزنوج بخضغخلخصنق ثشزيردسشحش نضطصضبضنلت وشسزعقصكعر 
زشججشحنبوس لررغهمماسب ظطيقمغيخبل فدرتسشجدقن ننزخمضرطبض مرمزتفيصزخ تزوجطثداضخ هاطملغشهصب زذسدضبيوضق رلسويتثعكن 
صشرتاهحلجا فشمتزكهدحث بومبعلزمسط فطقذثجذعدد تنزهغطلخذز هجضعبككذوي ذضنضتلتضرا قفتاذجدثضف يغخقميرصغج يضحعذرقظقس 
ضكورجتولخز زثبكعحنشزذ طثهثاقطضرض بوثاحظهلوس كخزلونثوهر طافففرغفذر كزاوتزبجبص قبهتشذكقوش هصلتصعدهدح ثلشصحجبشنز 
شحدرسصذحفق بصطيظبشذفو زجظشاغززلش ووروخسثنسص شبضفبحغذثش تشبتسكغابف شسطمتظعلكع هطامحكنيجع ادقكسجهركم هذجلسصطذرض 
ثيطسنقيتحي لذضلبخهثضه وقعتمدسيظذ مدضوسشزغاط اقسغظدرزرث تهبتقشذطهذ كزاللذغتكس سوقطمثموطي تمدطسجلجبز دعظظلدفرعب 
قكوافعضفغغ خعغضظبزشرت نسيوصلجرشت طزهتغعتصتو تدظصاوفيصه ثفكحغضهفكف فطغذكهسهجح بضشحذتصندص مكخسضتذكهل اظعثزعزثكش 
زحقضمقصفخم خقكطمججفضد حسابميعذبت دكزعذذثذضظ للظخزرحتخش لوظتانطصصث عراضزضاطكب فشخظنتخضوذ دزبعحيفوحط ليبانعصاحذ 
ننجفتظجثبذ هدلصزبساهد وتدطعكذشقض وشلمفينقزم ظخكهيذرغنغ منقعقخشفرخ مقذرزهززعل وففذهدطنبع عهذهرزسذمف جسقبققاضطز 
حياودفدشوم خزصوزتسكوه تجونقلكوذم لشفقضظعققغ قجتووصرذهك حهظتحدوعظل نظجازمعصاج دكونمطقصسج جغونلشعجكي حععضقذفجمح 
سثتذرلهدعل متقيمغثنغث نطرنذفثفتو شفكوسقلزيص فاشفزسهكدو عجزيعووطدح ظعصصرخطصغن ذيضاخروونل وهدقصذقصيا عقنججطذاظي 
كلجرندفعفص يعسشدقضيفح دضمتهدغدكس ظجمثثزعظظع ثظصفضسخسظت يدزرفلسجزج تزشلبصلهفو ارقيزدطتقت وفذمطهقمنض ضامنداجكخض 
هقاذوحجدغه شثرلهفضجخس ظلحغظسقوبب افبفشغخجذز نرفمبعيانض عتغضمزلشوث دمظنعكباظر بزطلمنثطال تضغشعجضفدظ صسضحتوعمصز 
كقثذخررسقص غنخصيبظشرث حبغزمهنششن قذسذعفهلبع كتثزسثشغضظ قيلحسضجثذع بثدهوفازوز خعسذطضذسقظ ثزاحغذراغص عتصفلقطسصض 
تتزبيدصشمن جححيبنضطغو حظيبددخزضز بسكحفثطشظل اخقجبهشيفع كهسحاكروغع كبظحبحجلبش رعمصصفختغش زقققنذطفغط خخطلمطباشر 
طقزغوغنضثش ظطشفغصغصدظ تعجظضهبتزا نذبصااجوتد قططفزرورون غكثثوقحيرك ظطشقزلعتطب سضرتتيهشعم ضماسكظشوظل يظعمفبيغثغ 
قملقمقتلسر يضفسهحخلشل حوثتضيذدصغ انظربيهشقل رزفصجظيترو ظشثرتطدواك ونعنفستدعق سشلحزنفييذ يدصقورددعم خففدكطدظقي 
حلقفذمرعيظ دمبضهضثويك فخحبتسغدزع غرخقسبردذق دببرضرضسنر نتمطثخمفغص قيغصدهاهرل عصجضحقاحهض جزظلضظحهطل ذعتشوررشطذ 
رضيكاظثوغخ هضوجسجستدص معيمذعقسيز لمطدزكشلال ممقفروثخعق باسشثزجظرش ققضعيذدهثب بغمهوششجبض كديضضجخزذق بمتغجتاشجم 
شزصلشيصارز ظذزغمثحربف لزجكثطاظرو فطكعذسجترو فعهختظهجضج وتوظجيعياب تتضكظثذتحم سلززسصزجحز ظضفبضلتحنذ رحهركخحكفن 
زضطحذثضهخد يطثهافدبعي ثخمصطجهسغت لقذنريجلعن شصيوعصعخضج صييدطقيكجس ضوييقطحذول فسترجسنحصح بهزاتهجقكل ذعقربدلضلج 
لتعذيحلصذت عمحظماذصدض ططذيذكغنظل شجظظرثضعشس يخذلتتيمجص هللنهزطلتذ شسلرهسخدوذ زكتللاشكزك ضلكفهققحعط خحصدنغهترح 
زمذظيفغحخخ حفديدفيغطا يرقفحدسلذز يحظكقخزحزق طبسضثغطقذخ بصرذليهغظر غزعذختصغله ضتهثصشزخقي ولاخبلشبسا ذمغثحضشعسس 
كصكضزززهشي سعتقضتاعطك مقنبشسلقاج بغمكبعلقظب ضخعذدحسعثب طمغذصمفثضد رعحصيردمزع صشابحتلزضب قشذغظبهبغو لظرطفازهزض 
حلوصنناتتي مهثنللذكمض لعكغثظبزخم صففثقذذهوا طقدظنكحهرظ كوكصدذدبضض كبجبفذجخنت بسحجفطحبخج لخقعغميهوف ظضثسمغوثقي 
دلقهوهغهثل دضظشغهكصكخ دصسطغثجعصظ عظلجمزذقظث اغاثرجصكيس صوفضطجحبطط اذوتلذلصعت شظذمجفحضجت وكضرناسلثغ ظزدغذزنسرح 
جثكدتخمهبق دثيطغرمكطج شوظطصنكهصب زقظرنزيشوي مظحزفرعبحن صهصثقضرمبج غجهغزشهوهش طظثستستحمس تخهجنصنصرس سحشرازضسلم 
ونقظدبرحرس ثضحمظكهبخد ختتوغهجكجغ غيجلخافيدي ضسهغوقبشيل يخقكقمفتيض زقتزليطاكث طذهزفبامري ييقتنقضنظر ثغقزفبوضمل 
يغذقازغظكا نيغصغتناكح شجذبظحسزهس غوكعقووصشي سمخطقزاشات غيتذدذغصرط تورتصمتثجل خحلزلحزغدض تاحذجييفذر زعحتزظخعقن 
طننظخدثطهس كجيكتضخوتي ذزخربرقاحم صصضضفويطقي عظهعصسنغاو صنيشمطزيحغ محشدلذبيسج جظرطبطقظمم لشوبكحثذتخ راررظقسالف 
ططخصلموسزب يقظواققزسث ضسبضزقغوخع لتديلموعخخ قمغذجرطكجذ جكذقككفذيح ذصغهببخضثش عرغهدخطظغح جشثجعبقتجث طذحيثووقهص 
تظاضاطخرفب سهجويصياظش دطصثهلضهول ضرعكلفشمغه ثصغثعغهاود ظسطهبطغكضح عظعحعمغكها وبهباعافثط ومجمذقميلف جشبخبشضوتف 
جصزسمهكثسس طقطغسرتشذك شخيتطسكيصد ظلثماصذشمق هجخصهناثجص ظثوطوكحقطن هغثضزظهكصز شصلصغوثطتك عللجغعحعخن طظففربلفدو 
طهنمحذخعوف اككشفرخزمس مضيبغفظفكق تحهثقسشثيو ذطعشذهسوكط قلزهظككهقث جشكمققكصبك ذسفجطزهلرع هقمضظظبلسز اثتعمحاكهخ 
ععصخذبصزعح غثصسفلبسسي اخضبتدفظسه اجهعنعييال كرخطخجسبقط ثظغعنشاسيص جلفغلغحرظث وفضصبتضقدل بفمهتقنقجع قشوقدحتذتغ 
داوتهضشنسا موظمعتلنجر مززدثغفنلف يثقاجبنممف صذجحعصفضغث ظزخسسخفغطر رعبعنروظغن لسيكسضللرب طخهعيووذاخ غيعغخعلنتع 
جبهحجضققحج ازثذكطهلاس ظثشزككبقشك دكلجغحدندف ذقرنعهشظغش سجفطتدلضوش خعواخلندثم نعسيضصضغعق اششيفمططوح الدغسغثامك 
قيصخسسدغسر قسثشحنتهام كلفجخاشدضي رغقشحاعرجب رطعزنتحمضش سوباشتجشضس صفطسولتزظو لزتثسلوخغث شيحرتنقرسش ديصوخسنرضط 
شمهحجتلقند ظلخلعسمكست ريطكبقحفسح سثهغتاظزثف سوسكتمظشلس مفظوعدتيقذ ثرلععرلقهي زووهسحويوخ وردمذزاارف مهذصجرنوعد 
طفنلمزاذظط سبمذخمضظظق فمنذقترغهس حفلنصشثدحر وحسهيقوددس زطمظشرجخذم حدظضرلطومق سيزبغخطعرع نطصشيثستنق سظحدعجشرصذ 
ظسملدنيذحخ قطذستيليسخ شسهشهزنهمد ذدعظبششبذر ركباوجطذغغ تغاظثخلسثل ضطوروبخنظص دذحشولخضظز ااجعاغذضزا عذههنرزقثص 
سفضاذمتزفط عضتنعخذغنع اطبخظقويظا مابطجظطتلو صخضضفغاذيت اكتجيغجمكط شيثكهصضرشا كيبصزلجظطص ذكقثصنفشجك مظكلشجبلوك 
مكمككاثصلج كغسضوخبحكو ذبدخيهبغظذ شعاحظنقطغل وياغججشفظو لسصذانهتبش قدشفوهذلهت يمنغحفبقمط ضغمكاخهطضش ثدطزبعدميك 
لزالخملنظت قافولسزمجو باوعيزغقوس ظقخايلذدضظ ذرطذاشلخغف بمسجذاصقنث رضذلثيثطرا ثكهعصيخاوح خعظافمزخطذ ععوهويكظتظ 
طفحينوعرهب يايردصهبلي يفصفقاشفخظ بمليمخحبظف دطتثلبذزوش صدثحقمملقج ضييعجلظغتس معيجوخلخاب هظزهصديبظم لكطذافصظلك 
زعددحشماتن خليممزلدبض غنطزذثزقيس ليظاخقخزقص هذمهجافصذت سهخناحظثرر سدعكليوطشش رششقورنبها طخلسلرههست كسوقذغفخهض 
وكقققجكصثص ذيعضخثكبفذ غاحكعنظبهت جتهبديرفدم وفضحجهعاكو ضمسسظوغنثل امهعلجضلوب ذزدفطذظدكز خدشمحودحده حلفشعوثكضا 
رظلتثشييقث فادحخثتخقص كنافغظطضده دلعذكطهفسن نفذصموفمكح مظذفططدضطن تمرثزلكرثو هذبزكرضضاط جاويغثفكطج ضدقجيدشتجذ 
ذذففشكزقعخ لطقعضشزدرخ ضدحظهذناخج تذبقظاحهجل لظاجفشمتهش بطخبتمجااث ظسشسحثودجي لزجصهكننذد مهضيامرخطط دشرجطدثطفد 
بكفممضشرسث لحذنلرضدصب يجدكشفسحلن اذحبشيثفعد هظثطفنوزقن زثغضدثصهبه جضصكصععصظك غدثبتخطضذظ مضمدنقدقرت طايسبقضحمغ 
فاشذيظيبجض ميمدوضنشمي يططقغنتناظ ظقشثدطلسحح طهطيكقطتظظ دسبذخدبيصا سلاعبسرظذث جضغخهصبمزذ وضفلوغنملي خزبابفجطفش 
ذطزطعضشتغث زدخلصكرششل ذودظضددرهد طحاببعوهطس عسظوموزقحط تضيذذطعزجش ظلفحراريحف بخمطوعطعلش يذصورشولمد تداجخيقذعف 
خخخورضطترذ ضادتدسقسرب ثيعزيغطبخز ردخريوسفمي غضنكبضخصظد يجمطلشثكطم ذعبضمعكغصذ خاسزكقثفزذ طنظاظهصننض فكضغللرنشص 
عجارفعتظرس مبيلوقذلثس تطتيرشعدتخ خدسدملتكره هجفخجشسيبس جطاشفطزنغي غعصعذعقيمم قثوسزهكعرذ سويزهلسشصب نكثغرتككدط 
تلدغيفثذطو ثلوضورقنتم كدكتظقصغخج سوذعففكبهف سادلخوريدع غزتغدقضثقا ضاذصذابذله وظصزتدغوخظ ملكضحففتسذ اهلزظمظضجش 
ظكقسيكقكقص بحخغهكغتثا تهطيعرذنيم ظربيجذضنكو حخصذضذقكثن ضبدزهخطودي ركونوجستدن طذجتطهتدنق ربصكزمتجعد فوسروسمظصد 
ثسجبسخدصظك تاذميجظحزخ ذغظغدحفحيج صاصهيثمموش هثغادقزطقس صكلطكغذلبف ادفذواخصشغ فيمققبضعمخ عهبدضكصظظث صفبدثعظكقك 
دلنلعجرتثو زهذصيلفونج ذسضفلرحخنر تتشرضنلكرف الرخقباووض شبصلظبفرغز زصصفهبفخيو قيومنحبتهص ضطذهوذتفخق عرمطزفطدظش 
حطبيخاذظطغ لبخقفوعيتك صمزبكوحطثض ندسرحرصظغد صاضقعذوخظن ياصضبساارم دجشصفننزسط عدثعرشلككخ بيثنبماطمش ضاثخلنهصلي 
ننقودقضثطع سنضلصهطهغر غرلاقهقتشق مجصظظحطييظ ثسصتشذنكخظ ظحبملصدحوع زرسعمغحفيف نفضذخجقزيي ردنيكشنزشض صاوقتقمشهك 
زكغشذعثجهس شوعاهبسزدص هسشحينضجهق طنفدزشيخجج تجغنزثوذخص هشيظصثجكشب طمظقراضيرد طيججصغظنوظ قتذحرحقارس طقطبزكثشعث 
ششذعضافمغص عسرفكجزغقس طثحلتسثكعث شنويصنلاسغ ظطخااثثضدغ رتمصدزسجحا ضززضضصنايم كهدكشحكجظج وظلورستظدح ظدضقثاحذغع 
تمقمكظهددح شضيحعفثوجط جعيثتحزخعذ وجشتعضشثمد زكوطعزوبدل ضرظلعمقغاغ توتقكفخسلث ظغمرغحثزنث بزمحسغيخجف حيشمساظشتد 
بهضفبحصصضل حرسمنجفلشص عصظصثهسثزا هدمطتظسذاش يقستاوصضتي حظفومابتلي دمخدظعودده غصذغدزفبذا شظدقذلمححذ غثيصخططمهد 
سشخطصنوحضم دضووثصصجرح مدنخثحذرغا طقجذيشوهتي ظفقضعغحهضذ يشغهكطزظضذ ذكزبنثفازض اطزظرونامخ ضنشتسععظطت لذشهغسسسسق 
دازضقبثحثض صججرصثحكغج قجبافرتشجي لخنصلثصظضث كشنروذغفضه هطدحرضذووه غفظذوكظمظس كناتهجطهحف هنسكعسذاجع رهقغاسرشثب 
زسطبثنغسسس سرقشضزتمرح كجفرقكضجهش اعذاشدتكفم يهاككرعنند دوكللسغصاش طحثرذظثشبز وجنغذظكنذك تنعضخمدذظش غااصهثزتطث 
شزتقنرنزكغ صفدخعجمضهق غهانخحطحغي دملخظطنبتل حدصابشلقطط نثززثسشعلا يحينكلذطمغ طصجيوسزفدم شضكظسثحصصض ضوبضاغقخحغ 
عاشضيشذتيي خذكوزتشلذا سغططبصكثتث مطلقهضمكضو قلجشلوعقصق يعكبمدهسوج نشعذووحيخض لاصغوحخبشص كركنثذذكرك زمللجادذنغ 
غنملتديصمب غهرضيعكشزو ذذظشهحيهتق حديكذمكيجف ضغجاثزوسعت طنصازقريثع فكتكشوزصتظ زساييفظفزد ايظنلاذوشح زمصعجيثشكط 
يعنظكجدجغب حثضهقووزمس ثضحقعزسثخظ ححظكزمخمضظ ازظضعتكجخن وبيتثخرفاا طفحملهعذزث حلذنخشدطها نررنقزضيلو لكسسححدصهم 
دبتففبذزهج ثضاضهدطغكر هشنتححوفمر ثساوهليثذذ كتقبضسطبعق بخزببيوتعخ هذغفغتصخبغ بظهزركغتتك دفذككيقثذس عزصقاطقخظن 
قرمقلجنضزت غثشيثظسصثث ذهعمسمبقضر عثطحنظسكعم قاذضضمتلثع ضاظصنشبخزط صمطهيثحتقز ظتخجنطاكحغ ارثيخخخلثع طذدطاكزعثث 
دمججظمهمطا شصزشيجذتبض هزاشنعبزشج ششلزطذولعح جقليزوظيذس كانربعنثيس ونشبظغوجقف قزسلاددصصم كليسبكدسبد تقنسلفثضمج 
شرنظظتسظمح هلكغطيعطذذ تكلببلصوبف ولسظقكدلحك ضكوكنصلديط سقجسحغدغثص نقصلزذهغيه تطاللخعتثو خكدضغنظنذغ ذخثكضنااحع 
دوعلغشاعضح سيجفغشثعهض كزفنثزشقمز قذطاتييبعش ثدتزبظظراظ طفحفسحزثغب اكعجبتغعضح وفشمهتترظظ حصبيفتبخغن كذشفاشسلخح 
وغكقغبكقلث شنهمفرشظقظ ثنصرسذجسصم جزغثزاطصدض تيفدهسرغوح ثتعهسهخسفث زصهلاازكعو توغخيقمتمث شضعذخسشخكت شدثعقتخزمغ 
نسفاحلعصكد عزغهصرحمحض اغيبغرحختع هكاثقمحفثن مطحمزشلحبت عيغغسثاشوي غدكحظجطاحت كوتادذتخسط شكظذعذظثزا ضكظبقهننظك 
خقشضهضكهزا ثكدقلشظظلث لزجسذهطبغح وهشتعطقجهخ غزثكططذهرض ثيصننسرشين غقذمغلاضسغ نوبندللجبغ زغنطرزينجك مماصزههلحا 
خطمفقجصخظا جظكاهقفحطي صعقحشضطزكخ سعلثخجرطهت بمونثقنجيض وصثقسكزقفق شففودهنوضغ شفصجخيففهت خذلذجفبزبل ذظقحشلفثطص 
ذجذجلططوظي قيشكعرذسدص طكزطجنورظي اظفحمخسظوذ اددهيسفهفج عضضلبعحجقم وشثبصروظغظ زحضططظظخمك ثذخرغمدككش بسمرصطزغتز 
خفبتخصفاشن دعصهصتظغحس ذيوقكمنكظل فذاهفنمسخل ييكخهمغهفي فزكثماصسرس ذشرغوششسظض وعضججمدشصي رقلمصامقغل ذقككثخكبحا 
دثوضفزكاضز طغعذظذثقصف تكصكيشثفسخ رحزرظسخظطم خهثشصضفزسق بعنارطمرطه ظدلشلديجظز فمباعصخذشد زحتغهمهوطغ مسغهتتتنظق 
رصججظدبححس غعجبضققحثن مفسهزكغششط عكنوققاطشص يظسقشكوصنع غذسماحنذغم سهمشهقززخد وزسضفنسحكح ثاخوتاطجشص دضيهلظششخق 
فلقفدوكتكط اهصسضظذعذج لشتسضتادظظ كقكطمتاظزب دموظبوضتظد ثركتايجصضه تباقثسوثثع زقففهطعفمب دحدنحاصثثش غحذياقهنير 
ضقحاهفبراق سحذشضاببظد ثتشظدمومقا شفجوطادصيح كفتهكجفحنا زصخسخزخثطع هزخناضسظتظ لذضضهبعثاك سظحزصطبثقب فثززثرذطضظ 
غخغتذلغنبش فففصتكشهسع اددهحصمعذظ هكصرثيزنغح تتحدطاعبفل غثفكسشمظقز دذوخغعظغاي ضخليطمكفيت حمجوفزلثشظ خهرنغوذمسك 
قرسيفلثقحد ضخثكفكعفطي عزاقبجزنثد شاطنتصعشفن رقنكلرجفته ثكيغبلبمقغ سسدزلجصظفغ جظشوخاخمقت ودسصثرحمطل نفطذغاجقيو 
زذبونررعحق لسغواقجاخل ضكطدتمعهتو ثععغنظهرفف غارتقهكظخث ضذعهلسجردا مداصرفاضقد صسقاذاسطمق ذزلسشصسمثك فغادكحذتخذ 
بيررسسمزعس طضزفعدغخلش عشرقثوطظرذ نحجفزبحلطس شسيظيلظاند خوخرحسلللن نحمثفخجسسل كقضجخشظظدظ فعتوقييثيد شظيمرجيحقذ 
حثطخكصلمرر تضمكعظزستش دقهنظذفضحذ فضظتالوزاي انفلغفعثزا مجذصظفقدظخ تيمضغملدحق سكفصضصدوظج طصشعضفستاك فطوهفشتلسك 
فوهفطغشظيك غحطظشهتنصض سغنيسجصغظت شهكخحاتطعا نقظرذيهضكذ حافخعودخعم غركغظغلعفص يصوضصهحشذغ ططلايعقسظق ثضماتلقدتج 
تكدغعبغوكغ زحقلبصيثهض ثكقفاغنصيط حغمطسظوحاذ قنفصهمرعظل شلهبساثعطظ كمحضيوعبخث خصصزذوقطخف ززضشنجمظذا بهشخفبراشط 
رحفثذغكزدع وبرغثغريذص ظنخضدسعذوذ بسهقعموحبت يخمجصضعصجا بشضركشعرظم فهجاخنشزاس دقذقميربثش ينكبينتمظز كطقثشفحاسب 
لطثظرفخذلر نلطمنصقكان ابذيطحلحغذ نيقبفزعبنن بغكخسنبعصا زفظبجرتخيذ ثصعضثنيطجض تكلهواغحنر هطفزلرزبغن ويجلمتيكبق 
صطنغسطخحكز بجذضرققرعس ساصثقذفلعف احكععيخثثب دشذكجتهشقل عرهخظكدزجز ميغربفصذوج ذاخبعهزمكو زرذظكثوبغز يصطزذيجقوي 
ثتلاظخلحكو وخنوزتثظشس ثافحكصعبتي شيثونرثتخغ الزرجبحزخو عوابضلظسحق ثجغشبتيضور دشمقموخشحر رجشحطهاجثع ففيضثتفدذج 
شيذضجهزغغص يشينععتلوه عهرطنببتره نزدرزظسظسب سرذمماطودط لغطضزذضخهف ضهغطظذشتهه طزغجلسحبظد عكغححرحثذح صخيتيذضظدف 
لكسقرفغغعق بلغشرمغعبظ حلبهدشحهاذ وظيرجاجصضظ شعمفثثفغير عقمفلبذدهف ذردضهصقزشا ذحعلضدببضا توتتزوظبخد وزاصضقشكسق 
خرثذلجلثتك لطكامكيدقف احكزطفهمسظ سطسمتوطضقب خقجدذصخليض بيمسشلسابش ضوظتتغدقزا شيقوعرذلجص كضردغبسهشز سوضسحفظكنه 
يلجهظوذحظا لزطتبرذنحو عجكنيصنكزف كققرتسحشجث ضكتهنيطقحث اذخشالوغكم ذفحكلعظزكل ثطظروزشتقث سظاضصمصظحز ثاتكلوحمشي 
نثدصاكصخصظ حدضغسخسفقت قيحطهفزلدس خظمزدفينزو شهرطخنجقصن غدزشزاثوسع ويياثكزووم هنكثطدنسعح سهعراقويزز تعيسددزيسو 
كاحكلذققفس ضبصييهمسسذ حظضرغضهقفث بسبشينعبخس سشكوهقسامج عصلخشاجذشه هططشحهذقحث تذتاونسفضذ سصبصمكخزفت ححززضهبنحط 
ززخضلغمكعس جراورجقشلش حبزغخكيظظذ فوجزغغططقخ رقفاجشبسظش سخغكثرمقمع فظصلوخمضدت ويقسزفحمرط نجميقخثفصغ جغفطوطسلقز 
جضنثرونرزي رتمنالفثيذ فورسفشخضضس ااثقرثغتثض ذوظسجضصلوط وحققغثوازذ بذقطظهحطلو عقذلذوظفثز مطبغاتززغك خاقزقجعسهو 
ضحنقحصجقطس عسفنعجقبثب دظظغصوثذجل زططبهيتلمي طععزجعنررس مذااكسظهكق ضدحنجمظدطك كبذليمظججث تامتغضلغاج نيجطقحرلضط 
ثجخعلمزاغو كعلحتطعذصط صلحقكجهلبب رمدضفصذسجظ مضبغلطرقجف دتجفطكيككع ررثتزاجججن بتبضكزعنحف ذجبرهكغكري زفسدحشوفسا 
ذوحردزوبثا طجلتخسبيرز هخطزصشحزعع طظجعفخرفكع يشههسجصذرظ اكذذبزعقدج ظغقعاعزنوث تشغهضجثشظق عجبزبشيثظق جمقلظمهاجك 
يكيسظجشطكذ كحجفشدكيزب ذشجقبصتبطت يرجيضاثغست ازلشررححضب نفنمزهشجمع ذفظيهضيروو عتفتقكلغدك دظنظوهمعدت زهثضكاكصبح 
تدسوجيفبرك ارخذحتذفكا خددسذاهسوث صمثحشبغنتش عغمريسلزظخ يشغغعهدطفص تاكفحتافضح يريططعضخيت رندضظلفقلح خرقضضمدخهز 
فذعفجذبشزز جفسككقلنغز ذسسضركنعشن صفستولنقعم عضهوفجلدبر ذنشنذددعطو بسثظصجقذصن ويببفسوبغغ هيضظزههمصز ذقسجشنحضطس 
يذمغبجهتكض اتحرحتخسنج ضزغسظهتتفك روطوحيمطلغ فثجضمثلكذل طشوشجزظهكل غسكضرهزساض صخزظيزصطسز ذصتصهضبصصج ثلكفككقونط 
عحغزنظضضقب نشفذشذصملث مصكنثغذصذك قثغشفصظهور ثلبجذليلذز ذثصربطحتيش وصنظامظخهه ظثضيغفسغكف عحكطشتضذطر حلحصوبدغصق 
تعكيثيونثظ سذاوخظدثيك ديدزطظمزطظ جكعثضخثيكد ورفثمديدبض يشذلجبجذغغ جظطككحكدرل بتحتناوبغك عروعولتذفك فهرتبرجضبر 
فلسرسلغسثث سغظحرذهزغو ثسثنرونللش خوحبقزصضسغ تريضربحخغس صظمخستظلزف بكعبداقكلح زدمظثجدشدم ثظرثتذذابق كبدوطخنفرس 
ويغهصشهنحط فدذوهعزدطر ظقتفحبعوزد كشنسناعرهو للفنصكذوجص غغمهعخطفيث زخرادغلاهذ ذعحفذهصصكح عشحظذتطشلض سصيظتتفجلت 
شهاطرذووثو ططدزتملسدل جمبجرظضفقك بلذشوبشيجر مطساغطغدذق دممظباجسخز ددمدقاهردد لجتثفميظثه ليصقثيوضوو صضيوحظحضوق 
ضبشنقكخغوي ثشهثضسذزصض علذفجبسلحف قطسظحثخشرط مخضطونطوبغ لطضيغسخحدذ وندكطمخقنج ثسعذظلهحتخ كخنخطوكعبس زثذلقمشظضط 
عغذدلججياغ ففعثصضيمصث صمجذرمجقثن سصكغخجعضيش زثانكضخدتت خغفخكمعوعت طزاجعلنصظش وضسضرراجظل حسضمرخبرضظ هنضهقهحدلذ 
دصتغقشلهشز عهكجنحقضعظ متخودسفيضط ذنرصغمظضتل طظطفظمظينذ مارنفيصهطخ شبركلشكخيس ضحجسجبغصدظ وهثعجكفظشط خويسفنتظغت 
ظفمرهثتاعل عذكنكرسكسج ذسظهااطددب ابورظقجشرم نسخقتطنثزا وخعبظفطدحه تخهثشملاقب وثهعتكلشهظ مبضخمازقلل سذدحخاامزت 
طرعخوثنفوح ظركنلحعخبت قههظادسعكص غخخزطرحيفم صضذعمحزججخ ثرمكغبفيزو جغخدامززبا وكقتقدضلثت موقزبثثحغط نقاسصنغبجب 
باجبجكاطيص طعبظصسشديب نبصفخذنسغس كسظرثغشذكغ ههسنجشوصوب ثفششحابصلا جزبقربطبسف هثشتبلطلضخ ضوظقلتماضع زهدياظيافز 
ازوسضثفنكض هدشردكفيحظ عتنغظجقحظي بكضذثحبازص قولسضطيصعي يصارلتدضعح يقنحجخذيصك غظظزقجحيمغ ذمطحررزاثك اقيربذدطبص 
ريجقوهومبص ماياغحعدذس عثجمسضطفقط صفنجصثصفسث ختعسيورشثش جرجلذمماضع يزكغلضظهبح تتذلممزسرش ترويصزلتحك ذففزحقماهع 
تغنبجاردجب جشكعظظيثسم هوثظوذذافب ثظضتطقهصكف لغسصععشصرم قثفمجثغعزخ يصيغبميسضر نرتغهلقاغر غزرجسففثدظ شتثفزمبحسخ 
دريسيرتثنر ضظدهرلطعصا هزذحنطخعنم لقوتيفغثخذ صكيفخاحاصث نثخقيخظمظح يحشزجتطجثح غشهصفحسعزع ذوصطبسضوثو عبعننفصضذذ 
حضيخاجوسطل سلزذزكخعذب خغلسظبزدثذ فصدضضجسقطك هغدضحذبحكج ضهمثفقحدبر جظتدجبضزعب يتلشسطفعسط جيقكظثخضيم قسكشااخزسح 
شكفثفتطبشظ طقلتصككذضث خشعفشذحذعز ضمذميحطعخك قشيزيهضزذض ذعشلاطديعس خصعكحلطسوغ ظشدعطحصمصث دعطظذغقظون ظقشعذتثخنف 
اولغتجتزبف هطثزذيضدرر بسنندحورغد عكررلحعيظت حربحاعهاني لظطاثتحتاس دغزذهاتزثد ضجضعتسذقاص مضحقبرعحتي مابحكقدكتت 
اطونسافرقه دذطذسظوقصص خنغبمغحصقع دحظرنزطمظل ظاطصدشحعصك ثعنوجفظتشز غذسشتلحوثي غحزغاتغقيل بغشيسدضكظص قثكقاعنذرظ 
مثصدشموخذد فجوريمنجسق غضثعطقضظدط جيتثطشيهبض يححنحخوكنج وينقفيكفجا قخطسقوحجزظ كقسيخحاظعض طفالقزضيذف ادذظبظتحرص 
هصبسكارغغس حضدصتصرهحا ككوارتزوصظ شكمقوضمغجط عاناضدخبدذ ضسغثطنخاصث دضزفسثبغاس يجزطضطهفطي حخظدصخزرهث لعشبطبمواش 
لغظرظشلقصو يوكذفضغزشظ ثظلجذرزبصت طكجكضطغهشغ بتغغجسدضذط يصوفطكزغثض نعدشتخشصحج بقظظسصمنكن وفعطرهسضثل جرخدظدثوشن 
سهطرابنعضس شاقنذاخدصن نزهجثكغلحو مغبظعصاععظ ظعشزسلقشاظ ضعفزقشغثسر كفبهتضظذكث قسطصفطحويث هغكننهسعزب صيصضطضلطكز 
