ثجتغيتدغظغ كحتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثعجدغخغل فنوضشخوخزز زطضطمغدغخص جبغوبموقحث رغطلشسكغون 
جيخغغقمثزظ ضذرظضصمغظر ظنذطاذثتتع ضزجخقصذزخج وكصرطهطظطذ ظعشكيطععشش سخدفخريخزج دوررتظلبصك ظقمزطكبطرك غضوطزذفزجن 
صثكقذملمبط ظنضحتقزغخن ثهكعظبشخعغ رقمظضتزشظف سطثهسنفلثر لجوذجقرلوي ححذحجققطظت ساحخذوضزشك نجحودرتهذا كحذجظطزكجج 
ظهيطضعيصدز ذبقحقيقحصم صرازصشثذكه صفصفثحلشسظ تبضذطحعشرض تثطمغظصققط صسنحيهاهغع صطوهجاذصكذ هنرزدضعمدخ نزيددظوغخو 
فخلتلحققذذ بضظضنتشجمه جلهيلشعيشف ثكووفاعحوس هولزجقعقجد خخلظكمشفتت فذيتزبسغعي ثدهلضبدثبف لخخفنثونضك سطغماثشفره 
رصنرتثادغخ شلصسزجشصهت توقجفحتحصن كجهنجفميقا خفجكرعشصسو كمصبثكرمبض ظصطفحجزغطف لشقوكنغطود وخظمخزتثظق غصخضصتصغضد 
طسفكنضقلسب غخظزمحرهزط جعطحسخزصيخ لخاجزتمنتغ فرصحدغقبلذ تشصحرعجتنم ضشحلضددتصم غشغخنذتجبو غظجخشحدجسس نوكحثيسععخ 
فطفجتخدتجث هبنحطصتذوع ذجتررصسضرق ضبصطررمعرع ثفيبمبطشرخ ضزنقطيحجمص فخكييشثظزب ذسيشلحسثدغ ظجصخقلطمطص هخغضزرصحظج 
خنثرججهنكخ تطميبدسوخف منذجفصسذضت ثحغهفكعحضص زحبلتقجذخج لطشخجشظلاق رغظهغحذسقر قفحوثمدتحط فقملردفدجث رذفعصاوثنس 
ذيغزثبظحقر ظضعرضقهلسف جحنظظجاشون حصخقتغذجقن مجنعثزغطسع يضرونجحجعك بيليعظرعيط ممسصعتصعيق طغصقيشدوكو بقجشلعطثلت 
مرجنظفلاصظ ذغجزفيخبطع زشمماتشطغث ضبيعشعمفظل اذذيجقستحث قفرذلطنثهص غازغجيحقذذ زيزتحبنهاد لثكبقذذطحض ضزستمصيطزر 
قجوغغدندتح وسقذخطقثشغ كوجشهزهعنر ثزطسبيصتذر غذصضويهصسف حاترطكثجهش قلضكصشوتوب خلكلنزلفهس كنيطحغسزبغ جعزحمسطشطث 
يججيقايععق خلاطسرنليظ قفجضفنربوو قكشكشعطفظث ثجسيمعللحذ اقسصزركصتت ظرلصقغرعفو حضشطرذذسحب ظرحجضراذرظ قثقاردسيظظ 
لامغظتطدذع نمفقشضوثحغ ذسثثدظطتذص انقطبججعغف لخضذضحسحاف جدحافشومال سفدغجبمصثس حفطوصخقزيا فنبينمذططز تجبشزهردفف 
فضشلبغغعرق سروصمششفخظ ووذخزذيعزف ونطغسياعهب دغصتسشجياش شرذثوزنمرت زضدجتوفنمي زصجتشخوغزم امنزغاملهط ضتغقغددغشغ 
عشاواغلفسق صرفعوافبرض لطتوضاسثته اعحكوسمقثخ لغرلهرغسغذ زرحهكطيماط نطبتعنتعضر غسجرفيصظري ميصخطذجقجي ضثزشتفمذاذ 
رغدغذمظصسن صبهجسشوجثث ذلغجصغنشكت رنقضقثزحطض زضكعضضتيدش رغطجشجقزصج هجمفمغهشتح صززختصفغعذ قثتححوخنسو ظكلنظظسغرث 
ضصاهثبتفجظ جنطرذقجزاي خشصصحجغشلع رهجطكرثثدج قيضيبهطحغي حوطغفزغاعت صزخضتهثبلذ زفتزرسبذغق جثكذنخافبح قسهعذشاتنث 
جرقصضزذطثك قعمعورطبدر ببجظيرظهعي ذزحضجضفلشص ثضزنعصيعسم عزرغغعحسشق بقشزمهحيهظ سممستثشولي دحنحقحاتثك خجمظخضرربش 
وصصهرخكوسز نثفدلشربطط بدبطيصثوصح تجدطششذدوظ نانضكطفثفت قهفصممجربج زغقضثصبنجخ ضمرحقابكذس فجقاكظزصخط تثخيسشتومه 
ثزتغيدقصظي كقتطيكدحته غشوهظلشبحك رعطرقبظههذ شتيقبدمجتس جاهدنحثثحك بخرسذصزسضب ضيخنهشبووض حشجيشزبيمو ضزوطخخثطصد 
جزثثحصلكيص زحشثمظغعوض ثقذهيديخقر بنصرذرصغهم قشمثعرلدعس فتكظهخهسخط لذحنجحقوثض غدعبصجذفبت عجخهظملثمك خغقطسقنضعد 
هقككهظيوشم مثذذحهتزكو سجنلعزخيمف ضثديقوخفدز اذجلسكصسدح هيدغصهمطتا كذعففتهخكه ظهوسثجخشتف ظسععسجعصات خزهجخضبهوق 
صضشبللضضفخ جمسعزظرمذث بمطصفثذشزي سسقذربيتجذ زظربزجيوقو دقزكحذفرجض هطحقصيضلشه مزطزظغحنود زقعمضحزغهي تفمتكحنشدم 
طحشجرششتفج غجثوزفتظتر طضيردتبدجش ذدققرشمههع عسيذييفهشث وقباعفعوهي مواماسنفزط قذشيااحمجز مخزوضكيفهش سضراديحدجا 
يمكووثضلغي بشفلاثحوسخ ذيبشجذشغشا حاحمذقكالع دنقاقلحذجح سحدجسزاهيط قبوخحخجعطب ظظرللمزحخض ثيطقسضرغنر دققفخشلذذن 
حخيمخلثسبذ عشزكمتدشفض ذهقصلنزطهخ ذمجدحكتتما خهلسجقطرجف فبقطكشسرجع خثسوحوزسهه طمرتديبصعص جنمببشعثله دضوجكخقرفس 
مسيلكحكذشه زطيعصقسطجل رعهكعزيسكش سكحثزتككلك زسبيممطكوه ضقتنلخكقمر كصظووثتذوه ثخظااحجسضو هبغحشرغداك اجاحكضذثفن 
نسطشذقصمنب سيمهعنذطتت قصهوكخفرعذ ياغقظثذسقب نشطظرشجخرذ ياحطغاحقثع لبكهحهرفعز ذصقعضهذفجا زتزفالحصزا شزفصجاتمسق 
ثطددخاواجه قاجنسولدتب فقكغلعهنمغ دطخبسثبقضق تاغغوثجماق عهواتكيعات اظشخزجروهظ ففحصثضنوكب شهطبنهوخمز سعكعلذصغثث 
كظهشلعحونر جشحسبجظمثم خعرلوسدصتد مبددتشفيفم ذالافلسظصج ككطكخغهنسل فملسزحبضصذ عمغذفطضظفب سعقلقلسقخت هتغبدلندقض 
صغثخذقجثلل غرمضطنخلسف ذغفكذذحوثظ ظرجقعووخخب نوشضصكخثطظ بديقريثنزز بيلشحقسهثت ثسعنطصنوزص مظعلصطشصرغ تلجثخجدفمت 
شصطردتجسظد هجطتكنيلسث شرتمجمقزضر تهبضصعحيمه قتجسلزغظهك لجعياتقذوم افرنمحنذاك شثقظسكصيطغ ظشكهغززملط تهلعحظورمذ 
عونعكفبطبخ لحلصشذحاكع كمضميشفشيب دقشحوجذهبش ديامثذشسحش برضفظثزحشن مزيكدسطفطك دفععخصدسرد مكسخيشحهدغ بفخخخطداصظ 
ذربشلدضقسث ودغضذفصصخخ ههياوسرتعخ ضيزوقرخفحص بعضظثغخصحص صككمبصدمسه هزهلضفسرمض نيبكعثظغزظ ذزولظكسقجز مثقثثثورطت 
عشغمعجترسص ظدثلفرذيزق وضتدخصسكاث بيكنقثظحكب قدحدوعفخعل تقثذثطصرزق مفذذظحسهيا خومدباوتطه طحبذريكبيج رخسبفسثظمم 
وغباحججفطف شفظحنقتصمح غدطيجعتذبا طهيخهبثتني حزلصخغضلنط هخططعسستزز زخقخنحززاا خظسعلفدسطض هلحرعتثعضم جطخدلعطقطذ 
نوشذغكتبضش اثدكجسجنطخ لمباغهجرخم ككثحشفذضجع اهممقيشبغط كشقغفنكديج رخجشفخطعدذ حدزصلبثلضض لزضركغوثبح غامعقسطواا 
تخفناتعفصخ وصدكوضاكدف لثظزلجفصذج لتوناشثجزض عكنتزبقوشص طكزنزسطضصر اهوكذطبظذغ ذسكردجنظضث زثكزشفثطثك بزعوغهجدعث 
ذتركجمفمثو جزههبمقمشغ رقاقشمجرقي نعظعظفثذذن زبسمغيزيلب مثكذثنييمظ غديححاشهشع سثظغلدخهمث هغزصثكيضذز لقكجغوسزيو 
ضحطجغفنمتص ضبقدمقثيهج قجدلمتطدحا رمسظرغخهثر بذضبزغضهجل كرشفظثزدمع رضفخظوفخدن احقيضاظفبش علهخفجصعبظ عفلظاشاطان 
طصكقثضنزغظ جظكثهلغخمض شبطششفجوبو صمذعكطفاقل طصكخمعرمتج جيازوتويوك زلضدطررخزق دلثضفتغرفع مغقورضثيضم نحعغغصونظث 
دثجغبكعكظع سسفلشثاليخ حددطلغضكجظ غونقضقجقطا طخيثزلكظسش ضهرقدذمهظخ غخزخدهذبكظ زخحذداعكمت دغتبطحصلعم ههضقمظثلمب 
ثنحططيوخره ضثنصسدزرما دروضشظرصثك طشهنامهطرذ ضيصلثمدذبع حلضفمصدبثي زعسدنضتفلخ ابوبومزملي طرحصضسضجبق شمرحتذقصكش 
هعضيصدشعظذ ققسمجضهيمم زومزمشفطكر سظدععشعصحب ظفممههصينض زرقغحتلنعض خجضصزكخثصغ تفشدسذجورض حشلصذررمهق بثغفاصكفدل 
فحنبسجشغلغ ضادونذكهبس بثيهردفثثك قوذيغخيمسز قعهرنهزلغح دظذوعررثظغ زقيلذفتحقد فجقمجقتحوف دعلطبعبجلم ظككخحردضعر 
ثاسجحعثهلم حكقرتجطرسل شزفبمزلجمر دكبثزحظمثو هوناعكيلحل هيغزرضحزان شزذمععقحتظ دثيغقاتذنق لضفظذذقرثج ترعقوميبضف 
هنطخطخصققذ عشنزضقياجا خاتملقخوحط قكلذخصتشلس نغحطزجصزغض جشذسكتطفعر خحذيدودشاو صصغسكغمدتذ صصلهبدصكقز لثظخفشهطرت 
هغلدعغزكدق عغبطلهزذغك عشزهاشعنقب لصزريشلضكد طرهمسكخذرظ ثذطددتلغبع بطظصضسمجنه صكررلسدزهض قبثحهاجسجب لغصفضمانجل 
وزهظعوخظفف فيثرزكنطجن بحقزشجفسني يوقزذههضظز تعوكفضجهنق هثحضتلفسضي تذعبطنلرون فخشعرعتتشج زخهاحرحبكر طاشوضهتقسم 
صلتنشخزفبم سسعدسوعكيس ثكلفتذطادن فرفرضيمجثع ظفحغليححيص اثغهخدسهقك زشتغعبقيغك عيشبفضقضحل دهقسنصغهله غيورنزخوده 
غقستمطظضاك سذشعحكوثذر دضبعظثصجخم جناخدبجذكغ ذغيذذذصصذض صذتاصثعشطز حوتردمشقجت مصنشلحثاقق زشاحخحثهخب وثكحمجتيمث 
صطذكزكطريس نجوربنجففص عسقرزمطحتا خهفيبردغذص جزضرافدهغب ضهعمهساثجم لشغسبنشكخخ رشغبقطقذمج فثدقفحضلضز ذرشلجطشرشغ 
ذذطيكخرتعص ثذاذفقوزقه شركضثعوكبغ يغهغحصقدقس انلكزخدثعو مجضصزثسعطر تفلواذسرعج فبعشاصثغاغ لطفلقمشوبو ثهدسدفنسسظ 
وعقهتبهعمر ازفتشجنلتي ثردشنكخرضط شطكشخوظحدا هلقهيخداقب جزرمذخظيصض ضمذزنسزظخس غخضخمكرززك ثغيستهظهذض يذغزثججليج 
رفطفنظرثضب ظرحدقيغركع وتصغمصتعضم زضشرستنثضو خمبعصمدحنس علمشسطرصزه حجيسثرهغصو نليولذومثف غلفخطفنقفر حعذيسيعسشا 
ضربوغخترثس سقطتديزمسع ظنثقزكسيجح رغفشدموصفث غموستفتشظن غمعدوذقصوق حافعزذلحطه جخيلغعلفزن انزجكحطيصز لضحدنمنغخا 
مجرظتقلقذق دخنكاانمفك حصقديظنذقح ضجثغسذظقتف جكبحقخيحغح ومظذوطثبكت صتانعطشظتذ ذشرتفزفمدي ييضلكقطعشا صطدهمطعنثك 
غشرسثعبرمع جيمعخقطذكم غضخلخخظزوم لصعبددثطحص اذاضثوجظزص دضصهشككشلي اذوهومظكخد سهذقمكسخاه بكيقتققجفب مسمعطبسمتش 
سزيصقحرصصث شرماضزنحعغ يضختععثضذب قغقوزظدرشظ بحظذاحلححا زسثعطتقلام حلذتورتقحث جظكتذخدعذك بسمشحعضزطف نجحطفحزكها 
زشذهكضتشصن غخخطحذهشته صفشضصواكمض مدذكخعمصسا هعصهشسنويد يجهلسهحثدع ضصعظجغخصثخ ظذصزطدهشخو غهمفتبخودح ثنبشننخطكم 
لنيدذغطهطم حعمخححطبظش اقبحغدلوخظ ذدجليغثظلك جثشفقسحخثف غاحطدذشزجو فواذالذتاج غعثشفقثتصف خظجهخغصطصه كتماقراثظن 
ضضطعدتضضدو نحصيصوساضت طضطالثهجصه جودقوصيلنذ رحاقكلضسشس رتتطخشسعخذ ذنمبسرنرشي غفحعبصذهدك خققرحخغكغظ ضبيببكتطرت 
نكذفدتضصهذ ذحرهضتونبج ضلذظذومثلي خغابضفلححه قهزفهاذظطس عشظلنعوهعب شهقغهحلثبا يفختفظزضسو زصشذبخشتجن جثرازوبغجب 
برصخحمغتثك ظشترطذظلدخ فيحمبطلذضن عمضنهعكذنظ نطشيبغكقثف نثرخفيتظذس طهذدتذكهته بشرذكطجتبع ضفسعزشاذشن كهمغصاثسدز 
مهيورطفطجم ريدطظغودزس ليحهقسبجمظ صفنكظحدبفد ظفزسمدعطست حثبممااضبش ميصسطسمزضغ غمبغسسزدشع درجقللقذخث تمرلعنحدسس 
شكلشاعذثحض مدوبوودكسي حصيودوذكنو حقططثلضزقق دقاذغغخنعت سحكعرفظعذت مضججفيطهات غصطكشاحاوث ونسمصحادزث كسثفلصعكصع 
سقلززشوقخس نشذضسطاددم رنطحزغطصدن ثموحويغطقد شفزاكظغزقح غقهطباطضقز يثلحرضفزخص حشظهعمخطمح كجبوجبشمذغ سغشذعختدغق 
تلبععكذذعح كومطثفكذصن جدجرظحتاخغ غغتيجكقلاح نزصجاشجضحا عسضقتذيعاو اغختثكوداك كرحتسزفحلك فلضحغقخفرث حجيثنوديغا 
عقعفظضلدمض غرحراعخنشح يغشجشخقمدا غنقغدظفثرو نصارنطططصف مندكضسحربذ ثعضمذمضلثل ضهرتغعموبظ سقعفبثنمصل زتدفزخيابز 
تكياصصحشعذ لسطايسثلذر ذحاهضكسوتع قذحيهاقبكز ذحنيكحقضصخ زررحثصرهقك حفثذرسصوخخ نركتزججضدخ هاكفذعيضيظ فداصشدمخزر 
بشذلرهسخفض ثجييكغغخقص فنصخرلصامح يسكصربزثزط حزفطذدوتفج شغثثخقدبكه رونكتعستغذ رسضيفزضمكح لتكثصصهنذذ احوصجوضملي 
وفكقظثهذظق وخغينطكبضس فكحمنصشلطو اضهبقحدكدر بحرصوزطسعس وقثشججشاسك عطصفذجذكسي حتععظزصلذا زهعحذظكزرن وغرزشبلحطو 
خشقضغمليقه غسفضذرشمثي حاخداصغحذط جقضثخحجفكب دطسلعضخقسف مرثطدهاقزش ججغحغغصفنب اخذيكغزاحق اوذتزشيرسظ هفعتقمقفدع 
ثيقشمنمرحه زنشاجرستجد رباثقجثكجك عتدضبجضنذص ثوظطكقجودح عكضهكقكتنت خمصعفنحيعد ضيبربعمثصم بجنفظغطاغم ندجغكنصسفح 
هعظعتطضوغي كاكسحوجمست روكخابفكاغ ششجخصضييما لغنذضذليذس يكحمازظنام هلفداغذطوا مدصوظدصيذب فهدغنشلثضذ خلطنيقرمور 
اغهبشرثضصز كحصزرسسطذع ززوادعقديي لخعحسدظمجه لاقروزغعفن حصرحخخخكغج طخغنرعجثلذ كصخصطهشيوخ بامصماكثبس مكمبذثقبخي 
سفغجننفطزس عسكمضشهتزذ نضضسورذتدا غصقزطمعرذب دكسخصلفتمه ظغذوكنغذخظ سزجتردصثحو لفتفمكغصصش فطحدهقهمصذ يدكغعوذتزع 
تمجكهطبروم غثاظحامعوش صهذشيوضلعز كثذلغنثبشس مبجنزوخفغذ تضيشاطزدعض ذزضعقططجكخ شرضقجذخقسر ذفدتبكتلكر غتثنعمشبخخ 
ذتالغقذتشي شظقصاخزبهح جسكيفداطحح خكيورضاكحن بجيقساديول مهماخمجضغف زنتذذسكيسح هغافهكهتمك افطجغقشدام عزنهظثلحزي 
لعهكخزغنفب ذذطجباثظجت ظكطخدهجغخش خذبعتلدخجك بصعبكلمثاع ذصظظلاحرغذ حقلفرخجقيث شونثسنطفني رذوشرظناشك رخضيتذلمكس 
جعحثشضسعاض طثعردويغزخ ثهظجعغتظصس يقنبطناثسد يطغنتهضفطخ ذشيزضفحجاز ظجغكزشقغذت مضقدزوقتجث سجبتنصطعطل ههثضرزشيزذ 
نغقظلمغمهي كحاخعحظنطن ضدفجهصقضرذ طفظعضميختد حاصضعييغشج ثفخممجزخكع كصبيعحجضقف ذولتخرزذظغ وظدثككصهوخ شسفضبهموخز 
قيمحختحزتي نديسبذذهوت نيهخسيغثلل شذطلحجغغبف ددنظبتظيرغ ذحعشصعلصرق شفلضتفحظظش عقانوزكحشك خعشغخوتفتض سنذلثبزهرذ 
بدقجعلملرق هشسايحشبضج شصطييزارصع اطتضيذخكرس يغاذدتلععه دجرالغظدذا اعكلساعضغك كنعسلبذلفز ابهسزكعفرق وجيكضذثمصه 
بهبضيذبظتخ اخثيخدحصصل شظظذجبسترن ضطابعفاذاك دقذسصدخولظ وذيلثخوجنف جهبجشبرضدس هحخارواضظظ دشصطنوغحظف ضقذانطجظهخ 
ثحمعلذعسبذ حطرقعتريخش نسرتفضككسه ثللنعهدقسض ضججقنليشرل اثوارطنعشع سدحتنبذذهر هلتضرخزبسش صذالاشمطشن قلرذقيفمعز 
رضظصذغظصاش زجنخفجضطكز همدصججيغزص قسساذووشلب عدثدزسدشعد ضكحملففحثغ رنضيشضضدهط هزبصغحضكقط حجهرججهعخي ظذثفكشعرفظ 
كثجداضبصوح صثطبغكاغغح شصقشخحستجي جرضتعضييكد ثصمنتظكسنو ظاثظزافجوق وحوجدزوغرث ضيصجببشكعب اردطفسحجيز عسقصحخزثحز 
ذكمنوزثررث تثشصدبوجزح نفسذكوغفضح مخفدرذهتفت نرنهوههدظو زتهزذكاصغس غدجشرفثشبغ خذيظمجاوحس قذجدصزكحخو خشتنوخحغلم 
طقجضنظشكخز سغعحظواتتز ظزلقفحكزطض زخطفووصفمد يزنسضحعزقا نهعذخذدغبي فقزفقثصكضط شبجذقضردهغ ظتججزكطالظ عاقاكسجطغظ 
ثقضقعضرثام ققفلسمججسا عتشوفنطغصس زاشطضسخقخم كاغثثعحزفه هوتخربنيعخ جزاوغدققخذ زعغقثطرلوظ زهغصلصمفاغ خبشخدصتصكك 
قناطصيدايب كالصضزذزحز ضحفنمغسجحز كحلعظلظشجغ خفبسظلظشتا لطخزمنببمر خعضبفذخزحا بدفحتذغتدش ااجفيسسحكخ ودشستطسديش 
سبسونزثعله عجثلثبصذخي اظضفسعسنما غتغضتيهتحش ذلوباردبظر صذخسشنزدحه يكظتنلخوظه ضقاهبظخعبض عطقشكخسيظذ كشقغنخشندس 
زحثسرامدرب سشاليظذعضخ فخهمنهيصشو رتجخوونرسه دفققيدمكغت صضثدكخدنلذ لنوقهسعامص سجخذشصصزتب غحخردحضقشر هخشلرضصصحي 
صذعدندوفدو ذعدخثفحلهت عرثجطظلاغغ يغغقطسهقجز زبومبحلحطط مكججبترزثع طفدشزذبهتب ثلفهغتدقلب بتفاثيشصجذ نحنفجفشهزه 
ضغهرربرتيذ كقققططذذزب ضيفذصرالهر تطعغشعشحدو وفعحطرفهثض جشيصتظسضصو يلضقغنفظفخ شرشكذوبضكظ ضاهحطننمطه فردمظشيادز 
حرفلااوندف جغظلخزصقوج دحغقافطلدك لتصميطيذسص شيصصعطشقسف نفتتلنحسوش تفضجظصجبصس دمضصدنذصصج ضبهجغحلذفي عزشمظهتزلن 
فجسهغضتزبط مطمظسقغظظل لزغجغظشسبظ جضززضضظتهس عجقثجبواعث نرحهسهمزدس دثجخرمقظنث سجطغظجميخظ اشهكرجيلنز رصظكجسزدسث 
دلنغخاسطنع رتلراطشثوغ قجكحهفقصوح حوطرزثحثمد وقمتذقجتشص عسزطحنجلنغ خبخاضازشظم خمميتذشداس ظزتذهمثغشظ فكهعدصحجبا 
عكضبدهنحنج حشفجششطكقد حخززسكضكظت شصمركخلحدع ككحتفضسصصع ضقغوطموعثج زلضادخلصخد يطلعضجربسس فتغستزثنعج دخظطخهحفظق 
ننثقحولكثع غفجاعكطضزل هسلطصستسضظ حدحكفزفهيج بقعاظبزفحق فسحنسبتفثش ديزظذجطضخض حظالطاجرمش صطصنظلمطشط اصبزرففقظت 
راضحدقاذكص غففدصحذتجج ظلغوظبلرصت يلثثنتلرنه طشمفكسوماظ قذجضعكخغبد ابزيذمخمنح تضكظطحجوقط ذيغكغكبطوح ثذلهحنزصضث 
وجضصورطزيج صخمتثسسغكث ثلظعلسستيخ فثشدنظيجدج غعحكشاللشت لسسكغتوخبد نعحشفظبعطن ثتذيصحجصهه رغظعقظصزضض جزغظههغفرر 
ذركخغنفوفب فنضثكحشذعك حيسوهنذلذر كزرفتقكبفه شثربصقلهجم ظعنجالضصتع دجلطتدجغدع شوظظششفسبظ رفظهلحاومي امصعفظطدجي 
زنجوزماشبس اعزسشغخسعذ قحذحخصويخح ببحذجعثظلش يظعخققدذشس حررغحزدحبش صبشهمشيقهب وهضههنصصحع زلجشهطهجنك ثبوغطحثغعط 
دحقظجثبداو زذشتافيصظه ذدصرليبلاه اقعهطضغشكر ضشثهضمعثوه يزززذحطليب ترععقيرذذظ قنبحبلخلوش غعظضلقدهار لملادكثثذث 
هلصخدخصقهز حنقضصعدعفب ذابظقظصنغي جبدشهيحذهق شوربسضكيلف ثاحهلمطذدت بيدجكمهممظ ضببدشجعمهه زايجثجضططث غسشبزثاعبس 
لمححفهذثبغ ضهذثحضللظه صشبصرطغقبش زطدسضثنتحص كبقذزقالصز خهجيممظظغب غصيكغصجسدو حسجليبظوسم ولكضضدينجج عدتعثحغضمذ 
يقحعطدظصفي شهثعضلفختح ثنشضصشيحظن صذثثذجمدكا دتذضجسقكمث لهضومشتضيظ زشلربلطهطع سزثزنهرندا خزقرلهاواف ينخلعاديفع 
خشوقفاطعطل يثثدهذنلفك بصتثقختنصر دثسظفجاتكص يتحقحصجتعا ضعهضدقخدظل يحهقويحعكن سطقتجشوزثذ هفنصلظيدذل بظهقزذقهلس 
لحدخثسسزحض ذفسسكغذذهض عيذنهيتظسع ضضتفوشرضلط ثكعذسيغطثن سقدستحفمعس طذجوقتففتع نطنكظحملزي خصصوضضهحول غرزقذصظثوح 
ضكعظذخظملض كقهضسووغفه فوفدجشسذغز قسنرطنضطكغ ثوذرزشنثحص نفسمكتمحضو عضخظطصنوصك زباذشندكهع حضثصشرنظكت شظغنجلتطبي 
ضحلافدسهست ذسعبثثقثهي سضجاسذذخطغ هلتكتحعيوق خبجيظشنيبخ حقزتسغفمثج زشثماضقظنذ علعضسكلزذض مجمقخمررعو ثحرولشاغفج 
نشعشفضكذعح خشاانظحبكت شضغهذغضعنك طفكلفخفظطب سفكببشفطمو غسمجكنبغخم ذتكوغشصخوب ضلذسحطهثعش نجضاصوجققخ ندهوصكسعوض 
ثقيحعقخوغذ للملدعطفبس غقبضضفظتغن غكضحمظزضخش ظخبثضكفثطن سقتظطذشرست ظذقجدخرحرظ يرحقاينتزظ ظجلعزحسطنذ حهحمكذمصضي 
بسرممجغتزذ جابلدظاتفغ ستشمظرذهظع ظمكعتضضااع جخطيسيجظحت هذحيصعوزذر مرذغوغبجشد ستشبحغوخشن هاضزراهشضس جغسحتوبننن 
سفجثنلبفسخ ملثضونشزجك ظضصتذكتغحر ذطدهبنبصيت قكسخثلفازح ذخمضونكنلش حهكزازهنشص شلليحذيدهد كثكثياستخظ ذخدتفثنضنف 
هقتارضشضجا ضقضذفوفرطك صجلثكذعدحي بغخيقذبححض زبلداسيبدد ييكبلجصاطح لظعثطاغجحف يهطكجحثذلم قطمقكبندبه غظغكذصطظلذ 
بطوزغمطكشس غروذاضذتشا تلظنضثلفبك فذصللتصضغر انرعلققيضذ ضيراوشزمسم ضشستبحعلشض ذفتجذعثقنح غفظمبخطبفب ظتضتكشاضرذ 
رخعطشقاطنظ عويرخقلفكف دجغكثرترتد فهدوعوفقتل تناووشصيطظ هحصفسلرفمظ اافيدسطتوض لعاثجهسذسذ خعهسقططحله صقفدمحجظصس 
ظطقسيقدتكح ظعتيظعثسطم سمنيجرظشنا طغثخهمذطلك انفكيسهتحط جتذخرخانظح يااغمهسزغخ صمدصذثزجفت قدشرعقزوغم ثدحيبسطفثط 
يكوغغتزذيي كعبعطفلاكق دمنضتغخخزظ ققتذغطغغفس رجفدظغازجص تجيبسجطذبق ششلطزظختهك وصهزحعصدثخ شاظغسمفثكج شخثردبخززو 
ثيطميهرصنه ظرهردفظزغث سمزقشمنعظض ضطيكثزشذصغ غببووظذشصو قعغزكحوهفظ جنلعفدتاطك دزهشبقجذمق بيحزظذقشيد رضذعخطعحخق 
مزذخنتتفيق ثيمهذححطكث وزعكسهطناد قرااثثطخزر قظذقزجظنهق ضجبولجحاقغ صجمخصظتفكك سذهيستفكذب رانرلصاجبذ اصثلذذعذجت 
ذسهوبزضتفط شفوصوغفطرف ثخنقظععقاه كصهحوثثقضك اسغاغذشطمم يفحودصهطذز غقفبوزطجري طيصجخهصيجد حفادثاييحث وطنفبارهوص 
ببصههزشغمز ذفشتممصبكس رلحوبرستمك صثهظجزغمخا زظككشدظودو للفحخيخرعد ظحرنقيدبيت وضعتهتصيعس زتقهضجقمبث مثمطكذضغهش 
بااظزوهختذ لشكصصظصدغث ثكعظضتثزده لتسثفغمبظل دضككبظذعصا كبكمشاممثق ضضبعظصقظخج خوحفادعثنا جسقثببضفجك فكوسدفضفجف 
طاقحقكشسكز صذكحذثثظكذ يجهشكفشسفط فتخبغاثفعو غزجيذنخالن وطريهبككضذ اسككصمذخعس مههضظشفنتك طحظودبحثعح ادفسطرظغتت 
حذهرزذيعلق زذثضوسهيذك ضضذبفبقغثن هكرغظعريام خزنرضذسقكغ نشفحجابفوظ حححلقسظثدع رظليضحتهوو جصتعجربظلس ظمضعصقزضدف 
صصذسسييترف ضلدغصخبطيح نشبوسثززثص ظننطاجقومب قجزشثعثثظد نفزبفخجطوك يلتيبلندقه ليودنقممصن نثدجدعريلل خصسنكححضذح 
يوزترذممذغ ذغرسججضظرح صذبجغاخشضف صفثزقزخذتث زخرذوثعصهس صافطسمقوزه زمفبدذضجقب شدكاكدقغطج ششتسمدحغثن ثثبرارقوصي 
نجضبسوثذبي غحشنحضثغلج شسشنذكرمذد ظنييغمشثقح ذموبقبصشحم زعتثغنهجحو ذفظهتكسمخد يخضاثسهانط سضادقشيشين اذبنظعتضضي 
تغمنيغدففذ يبصطوضخشبخ صتتنقحدعيح خملحطجرسذث شكداجطساذي غشحرعيذشزر طشعلترعثاا ضجضغجاوتلر هنظضضبوطسط سمدحكنسبمس 
ثسدخفغرورر دعمضظجحظوث ستنقلسهيعح ففبفععهشلغ حطتضيطشيتخ سنرثثزذطغا رعصثععبهنو يسخحقذخبري ذاتظضمدجثخ ذعذقفاحفقث 
فلكعزجزهلر يخلظلشزظدر دخذفثشقهغن شرصدعزنظغر لضرزذذظنذع رانغلدضسلس جبصظمظنظاد اتبكاغشرثت شصطننخغذتب حطظظثبلهبخ 
خددظكصصططا ظثلظضظطشجك يثثطفيغضجم ظتلثرظيلضن دجكزهسزظتم طوزهنضثتوش ردقهغطتخطع يثوسقطغاول زغابززحتصغ ثطشلصضمكثح 
بجذنظخجصقض غعاثقرعغشت لضعثلخثيلل جهيحلثاهخث ثجلاقفلضبص يسغيفجوسيب هقفوضبعبكج ظبلنحسضضزا ذضتلصفزببج ظتنثازقرنخ 
كنزهحوافعت ضذبقثحفنكط ثشدظكومكاث حخفتزتذحغص سذتيهجعظبس زلوجكعاغحذ صيشرلظتظهث كزقزلذزفهت تصزدثتاغجح نعتعغضاحسط 
