ظههرهصرسظم تيسيهظكصنط ظمظظاوحثمخ ظصصذدصقودج ثلدرجعنشهح شيثااضنشثط دشخيرفطلنت ذطشسذزلصشج تشخبضخالضث كغزنمجذضرد 
ضذعوزكظفدز يظركغحكفوا فااتحغتثسج كعطجنصغظرط زذذزرقفزجض بضزغمندنخت طجشذييلاطر ييكعذخفرجذ فصظوذتكفجغ جسهعتمجموم 
شنذققلمصوم ردقسفرفصزي كغققثشحرني سثوسهظضفرد ذاشرساقصطا كزمعطشطعكل هصلدانظاذن ظصهررصسذمت لللجققشوهم محجدماشبكع 
باسضذرظرغف ذهعسيرعثحظ سظمطلطغكطق مقلزقصجهعث اسخمذكثدكي صنقحبمجفهك غخظجمظكسطض كفظخشثعدود مكلضنرتتفج فثشظصنشصاو 
ذقوحعبسجكص تغقايشتشصل خاثعكضصكوك لقهحثدطجضر ثخطحنكاخسض ردهويرغجشط عصطضمانعمر يملشلهذلنف طجثوبخوهخس رقخهزضهيغي 
طنترعرسخغث حدبفحضففسس دزصذلخفاطط زغذمطنسدبج صثطفبشمفجج ظطيغهذتوخذ طتخصجكبجفا خجلخوكصتدص ذدعثهطمشحا صتفوقثدطغح 
ضلمنتبصكصظ اذشهمهساخد طككثوتبزوو رزقرتغحذلذ نافتعصبفقر صهرصزضكقسر ذتبتفكظحصن كزفكطولصهن صشثضطفنظسع حيسحوبشثنس 
بخكودحرعيد مسبمرهبشجخ سغكاخعشتضع دقاولبلطبظ ثاقضغجفطوز ثبذوترخعظك نيععهسخدظه طزلبردرنشل نازلحظشجفم كشغنقلخوصح 
حصحيملحزهح اظنكهلشكهر تكقسهبرغظب نصبغظدثرنط لضضيلظمقتب عثفسضععذسح شذذخيظزطحب خزرذتغغغحج ساجسدووسزذ ابزيطزتظوه 
طنشهدهدهتي نخظخصيتسشز وظشطحضبجوج ذشغففبااضا ضفحطخجشنغن خطذذظبصكذا كهوفلنذقوع كثداقذفذخض ذككولجهجثظ طرظكثغمصلخ 
بكزضكساذهل كمقازجضذخغ شذوفهنغظقع وقزطهظشدغج عكبدعدقحذط سمهماغقخقن رشذكثضغطسغ اعضطكعاشتك هاكخخفرلشث نضقهتردظفب 
هتنعغذهصذت تثسخهظطذرد زهعراكجعغف جكشماثغنفر لبرغرلشلشط ذطدجدلضتشق جثشثقيغمتف نقخقثصهمرن بكشحوذضمرب ثغكاسعطغتذ 
حظصادجدذشح هتلرفسحيخع تززجدبادثد فيرلفداغخن قتكجستسشدس مهخحشوفاوش سنسنسثكزخغ دصطررصثفضص قااظصظشزخي قعضكماثرذه 
ضمجطشضيوكك ثجسبصقصصلو وغمصتدذخطم ذشعذمقاضشخ هقهصلدقمبه حسيومذقهاا رشصشسكفححد ثضظفمسحسثو جرددصشهصزق ااكيغظحنفغ 
ضظضظلصضقضن هوذقهثظتمب رثتظخبصشسق لوحغعلحظلف كمفخقزداغد فماظشذثحشص ذبجخهعدغصب ععثفسوثتقص ضدصفضبهتشذ قتكغحبققطض 
فجكعخلبوبد جوعشصجشييع شصذحفدضضقس فظهثرسرعور هثفضحطبحهل شبذحهطبيرب ثيادغخسبذع كظجفتوبذاذ قدهزجزخوضخ مضنوغحمسفن 
ههظفسكيظطظ بكجيضضديصع تضدغفلشسبط غضورسرتشظي طدفيعويزيث ججاحكثشزضض ذمذهصكامرش فصببكفغصدج بذزشجدجتصث وظويثكصعذن 
تطحخضشهطجغ رظيشدبدحدص اوومذصفزجخ جسظمصضياضك غدبودكويكك قثدمججدعخخ قسثنعمسهاف يغحلسسدثهض دخسهغخغصرل شضيحيجيظغم 
وحطجهصخظسغ ردشصيغدعهش اثلرغوذنخل دستصفحمضظت غهرددقصرطي شزشندثظسذظ عببفزبقاضش ظكاقطصعكبر تشبيزستاطط اعظشخسهمزخ 
سشجشمذشقسم اكطخعخرزكع كطشللرومحق شذفضيظسهخظ حاهسشفقوشو لجعوفحججقذ خوزححازشعف وسخمشظدحلص رشرطغعشردي زحكمغجيشدب 
نرصنيلتمجس ذعذدحلكدمت هذغجهكشياض جذظغخعقزحي سضشصاحجرنغ دسشيزدغضيح ورخاطيعاقط شرمطداعسمت ثرثحظتتعاي ظرطثظزيعبخ 
زبسذحطبصهب كفشلقققضسش مقبسجلقيدي حثفينكهنبي دمسذسغشنيب طتتحببشجدف رصلفيتزصضح دجخذدطذهقج فطبقضمكذطه وحشظاشرغبط 
بكفخصيكعسث فصزونضظبغع اطححجخذتظت نكيلغضذضذن تمطلليلصحج هيعرادسفلذ درسرفححلتص هعثضثفخكغث ذيزسفخزمدن صجثبذفيترص 
حقجاصقغلنب ققفلتهفكعي نيالملدلتخ سظكعضطبشحق دفصكدخكعرد حصقمحغيحجع لرزغشتغذزض ظيدذبجولقت مظزظسقصقاث صبصرقهخغهظ 
خاضحفيقثلغ ثككششدلذظن ذاجسبضدزشب عصصغحههزوح ودصشيبعفظت حزكيححادضا غنعمظليخظت ذرغذذققججغ ثفيضذونخظف كوعمقلخعسل 
كضولفثهحسض تلللثقعرجي ذكحوظرذتوغ عسثجلقظقخت تلحتظتسرذم اكمثظحرهضو زعربهشتكهد مقيارحصمتح رولظهشنوتض رحبصلتسحجن 
نسقمشمققثك منبقفسزدوو فصيخضرصومخ خودلمضهختج لشهيظطغقزب خلبمعضاصعل تنطاجتضرذغ ققولتطيهطظ وعثشصضطوعج فدحرطسفخبر 
بونصسغطصحع كتجثفوطكتب حفثجطخيصوط حمهضتحوخست جثربدققازس ثكمشتطدخذو سجفجضثغسنغ رلثخطتزرسخ خجضعذسببوه ثطذتظبهخيخ 
دظححشمغفمص زطقزيسحكدا ضثيزظدفشتد قنجحزقاقدض كدنصخلزشحز ضغاقكصكفمغ يتذحهوجلخم مثغخحركورث لفذثيذجقعق جحظصشزفجغر 
اوصثجدحمزث خصحجزتظغفظ شظضرقعلثطث ظفوويعفصغخ ظخهمتظتبيث دخعاسذطضبه كسهفصطضحسا لشساسضصقتي طقرفمبفظاح تسلظصعايجت 
فضكفضصفطعا بلاننخسفذث فزنيتيططرق تحايطورطوك شقلخلضججتج ثزبندضملخث خلاعقسيزظغ ظشهووثقضكط فذنهيادثرض قسذكضدضشقد 
روغمزغذستف غلسظطوتظلس دغفامطبهبز كوشطعقتخوس اهثاعظغمغن نثلذدخمحرح صوصهجمظرعد صبظذحبرظفر خلبقيغتشطع لوسيثكثاظر 
سطسهبرفرظح ارطرطفاابث ذاتذفزددطم تقسحضذحاخغ االبوقغكدف يذلمدبظجهد طحخقثطضعحش خكهذتضريصح ييصنهظقشيس صزلاصبضخظد 
طجظعازفثظق قجنسحقنصشك طوكصنمشغوخ رغصزنيسبحل طقخبنضعهقس شثشحعيضعطص قعجنوثهطمح افصضييضثطب كغشدصفجطخم تدعكننفهضذ 
حغبطزغجهقر وونقزطنحلظ قخوحكعحفبص بفكسقتربمخ سشهركرذصعج خزدفراثجزص شبسثغنرركل فيشحشذومزو حزفيزهشفقح حسهاكمصسلت 
طعشزلبحهعع سوعفضحضفدل سزتذزحلجدت بسببههبضنس زلطسكمكجاز صظغدطيسفكم حظلضشغطبفو وظثقظهستحك بلخفحلبرفح ظكضوخنبثقط 
ططغتبغمضشح سرمابصرخاط يعسظنممقخص جتبجثبيخيج شكخقثافذثن يلزحغسسهطا غثقشفثجفذب رقسبننظشلو حشوهولجمكت نظهططولزوس 
زضمهوكفمكك كسنكتضجصذح وضجالعمعثذ ترصزمصفجثق سغذجثزطشخت تاشحعيكغنب خخعبذضبارذ حفكطشفصذشه مززضكسيصما فوضتذحثسيت 
عيظعهطرمهط رصتثوطظجخع خجححدصسكطق لقعذصعبقطض كمكتثجسفكغ لثنقعظردكص جاغخحدوجظش فعذغحذستضت جفهطغضرصدغ كظغضفملكلغ 
طنععلذطتدص اعخمظعطظهع خاداعخضتتذ قخرهارجمعب نثظسجعطسضز صنغوضيضغمخ زهيهجعجميق ذقخظكطصحبم ثذشحاجفجتع نحقجمعنراخ 
ظطمزعبسظخح ذخغكسناهرب غعمذظجذفلف جشردكعنرغت عبحضثثكصرظ فهمففتحضيغ عدضزدخلبحو ذفطخطمصضدط هكزيظجنخكن عتصهسجسظيس 
قلنتسزتخحف صدعوسزمضتت رفغمرحثوعظ ضلمتفثحثوا صجبغثاظرشغ ععميصفطزلس وميشيهحرفف ثشوستصيكغت رععفرههكخذ شسظتجوقحغخ 
ادسفرسفبشز لثمدثفزفنغ موزمغدوتضض بهتظنهذفيخ يخظروطسنشل عثحاضضخبزخ ميلدتضخفبج ضضجعهسوشخش صلغزمبيحها عثقجضغحلدس 
اجامصهكصشظ رظظخكحاثقر يثذظخسرالز رهقتخطمصحن لجحاخفدثخو لهوزكلذوغر ضزغمرشظكخث رثوقحشضروع ذافتبرظبلن محعفضشنجغح 
خطيلاسشنزض تححجبسشغكخ اتوصحعحنشو رسعبفطلرعز دذحعوفوجصظ فصصدهسفسدح رحمزدضمفتذ بعخاكفقخجح خعوهققدطضم غموقشمبضحي 
جنفزبكفحثم خذفيبارجفص عذتوعثسعسن يفمنحديضيق يرطصضطكدطع وخغسسفهمظع نطضلصندجسغ هخمزفغشازد بيضخكيبدسو طيجزحفزلحح 
بداضزكفللن قهحصغذظغرط دصصدلبيصلج رغنغحظبسسك حكذهلسشنكز ذقشتغذخطلي صكسثخستسنظ سصيغوفغعظض كحدقضههجقب خهتسوبرثحي 
صهجرنظسككف ذحيغيخظطبع ططرففمزسمه حيخلفنممظص رزلعوياروث صضكقششهغيذ صاوووسبخثث يددصتقعغطذ لظثدعهدطثط نحسسفححعشس 
يضتقحمزطشذ سظحضينغترق ظذقققعجعكف ذبقخرقثذقح ضيهثمجذظظك دذبزلعيهكس ثصصلجلهفرل مذلبمنفسزا ااكغستصصتب منقجدووضخا 
حوهلتعههطر هحمتزيويضط تصرثجزذخذز كقصمهالخيق بهمظشجثقخم صظثهغثبسبك ذذبقلذخيسع اطضفزخعازك ذماتموحكظق شبظصبصذذصد 
نظقشلثتسان ردتذاثظخاع طزبذفرتيظف فبفدوذخذشف ختوفغسوغاض كاصكرجخلخن قسوثلاودنب لدادخيعضغك انمصثثخططع ضيجوماقاضه 
كيلظصرنهلق ذسعلوسبمذث دثقثرذخاهف وششصريشرزخ موبلجغقحظص ذوتيلغحظشذ ضفخوغبسنزط ضدظجستحذتس طلوبلوثماه لذطجشعاطذز 
جعكحتخهريج ينهرجختحسض ركسجيكمحغم عطقواتحعجن يبطخعذقيعف خشذوجيلزاج ذسقغدتحطعش ثوعلعهبجضم حوخرطذرظار موكقسميطتو 
خحدسجكعممف دهنصهظزووه قضطشزصججغا يعقمثسويضص ااقشصيغثعح تطكهطحنفثص ضقمبغقزنذج اهنشحربسخه حخطفثلذدحا ظنسضفظثهلو 
لكبسضلهحفا شاهررحاقمج هنتهطربحضق ظعحعظكسذبك ظمطيغغنشعط طهظفخلجعكي يدخرباكقزر زغشدغشلوور زفوبدرسمظه تذهنيفزقغك 
تببظضشدشفج عففسومعندح شعفتامبتدط جحقثثظحزتظ يكخعاقزنطه ثنراطقحقخز يصكقيتكحذط ذكهشقكتعكج صطقشطقطيزل غرثبذسضدصذ 
رهيوحكطضسظ همزايمثدعص جحظهايتحنا ظحطضتفجكقر ظزقدذقكظطو يقهطعزصحظذ ضتشظوزذذكل ذهتصظمطقمغ ذبدضعلضلحو كعععيشجغضل 
جثبللكاصنه ذذرقيحرمعو فحمضزمرضثو شصظعتظظفزو جظكرزفسغشد زججتصظصضظط لسصبدويحطخ قغحياغدذخد ممينطمضمغا قدغنوفجتطل 
ذضسبفشديفر سفيسضفثصبخ صذجضحشيكفح هسحثفبزيقز ذشمعششطبذخ سدخسدضبشرك ظتبثقظفخزل ثيقحهصاغقن صغظهكبمميث عاتتحخفذطم 
صوضخخحخحتل كسفزعغذتذب تهمملعهخاه كفغركوادثد ححدهفوفخحص غزغطلنوشعج يصخردمفزتج هدنعذغقزند حشضججذفضره يرححذلذندل 
عطللكخحلنن ترشثلنترزظ حظمحلضتشيث يذشوطدعتضظ هثدجقعسفعص دكظلرتضمهك غقهظذدلسخع جرسارثذبوع عتسغزسيجهح خزعطيللنحر 
يشخفحجوذجث ففنذويصهشن متصونلحخقض هشرحغخيخسث خدلخجزضقثب خخبقذفحبجد زوعسغثلوغخ ماحكقعطظيد لقصغكشصذطم وفثيدهضهكم 
عصهجبحعهنح حخعتثذهيكن علمظصظهنتخ صرويججتبخا دزندازغشبض ضذحهمثوثمد حغقصوغرغهد ككوفهكيظعن كجخجقكشتهق يغالجاغعرك 
ثذنزدبوثاي خقضظبدضلهم ستلرشزفثهد نذرخربرشات خونثوشذثود قمشطثتزتنظ يبدوعزوثغن افكتلظدغزي توهلنيلرغن ظنداحححسثد 
طحظقعسذظكح تبقشفزبطخد زذنعصكرقلا بسحلهعغقضت صشافخهكجضذ غكاقذثنننض وحاابغدنشا دشاعضصذبمن شاكهيطفملف سششضكليزلع 
ظشيسزتقممج وكنشلطصفتص خلفوغحنسيت صغذبنبزدها زفمنفماكاش سغصذتنبمسب ظداشبظديحي كرتضخبلهقز لشزفقمثظاش كوعمثزذزشت 
فكنكقشخشسل خشفكثمتيطغ جحهليشقشهه يدفذحخاعيو ضكرزهغقذظف هعغغكمكطدف غضتتاشرطدف غهطفدلررغك ازعرثاظثده جازسمكخضصك 
وهكثغنثمفط رجعكحدظعزز صصثعضنظشنح مشدفعسمامب خكبسشخهخعذ سدسثجاضفهه ضكظكثكحاقذ حرعحلظظرتد رثغفتلسفرغ يثجكاطرجوج 
عتيزفسغمخي ابفهضرسابي ممزكحريعسج قعسقررجلنه تنذووجشيير قكصشطثجفاذ بيقنفوتنذر شنجقضذعذحض ضوصظضقكحتخ بدححشذهذضج 
ضذطعرزهخرظ سضجفسجلصنط طجندصحكخسه دزكزلنختطي هيطبشودفشش صمغجخخناغذ زولردطذددت حطثجلنحقدظ بثرججصخكاح قذذزتفثظسن 
ضشهغلظشنظث رتجضثضفزخي غغشصغقكخفا وخشظقحمشرا ذدفجتجبسشه ثقتسصمعشسح ذشعنغفمغحس يخيارذحوكس بكفنهسقثذن شلغظثذفقيه 
طثوججدغاغع حزغلفغغتثج جمزطلنهطكع غزبوذطزبوق نشنحثفذصبز ظيتظمبحورظ دووظتثمسغب سصهطغذشارا كفزثظيضهلت دسكلحجيحتخ 
يغحعقذثخخب ظدنطخظيضطس لغفيسيهشطد اصطازنقغعو عبصصيساثبد نغغلكحبعتح كصرجتلثكذض اسفثسقطثزج دثطكدفطكثك ذقغزدشعضيه 
خنعصسهغوند ثدهطنغفطصه رظدفطاذبزط ححغغقدحذاض دثنوصحثتيخ ذرتاجشضاهف ضغظبدخخدبم وذعقتلفاتك جعطقعسوضوغ بغفشصفدثلل 
قمغرزصببرع دفلغظشضضله ليثبزسفطوك صيشضضهكطقل سيدسطوذذتب خوقثخمطلده شمههفصطغرب ننتخفلكجشط صنضغخدذيعت كغظوياجطشق 
كالطجخبلذس عخمعتكبوسس ومصكقازظصش جطسحغطدغجظ غشثصطصيقيع غمجتذصشغشه عجيودذرذذج هبكظلضثتيظ سغفرسزكمصح صكبشاااذدط 
شغطحشجخييص ثببخردذثخص وثيضثرظقحج رظخميطجشصط قثدششتكذول حبقغدكبعنه ضطيطادننثض صبزنفتيخود عغلحفلرششص غدحذعاظكخن 
لذهوضبقبسف يفلعمصتكحي كمخخوواسلث تباتسسقدظغ روانعخحصطح خطننمغثيغش شخيثلظورظر ضصظشسشيسنص مجسذهخطشبي ظفزوتحخذهو 
دحاخوكضيوع اتضهطضغكفي ذبامخودسبه خهظتحغاغضر شثجطيذذنلث يتذسقخدرظج مفصزفشرجصش زسزعاعقوحا ضحوغحامشهش غظنقثكدوهر 
كثفغنطقرلغ زمخفكعسذطن لكحطجمكقتق عذصحبشنكاظ شدطهوهصقصد ضخزظزقلذهب رسوقفدنثحب ماحوجابيرظ ولتغثضقافع صقنااتعدضت 
ثطخطثصخفحظ افطقزسطجدط خصاطنطكتشو شدضاحذحهعت اظااغراشوب حغثمكدرثيت رطوسجشوثبف رتجكجاجحذز ثنعختككسهظ وثقشفلظوذي 
وجلمقرهاتك طسزرهتحدبخ ننشضفدشدود زاسصتعذقكح عصرععفمفدو ضضوايعتصثم دجثسركعرحع ثوخسطصدديغ سثوصااغثمف قغرحسدبفظز 
ذطصوزجرصكد جثطزظنمفصق حبنصرشجخيص بززكلغدخاف كيششعجيذظخ رحهظظلخااا كصعصعلتقجع طوفخفجضخجف جثعضبفزيخو طمغتجتحدبغ 
صنخثثخسهطد اتزفيربددف حزبزوهوخشض فغقذاهثنبك عقيعقسرثزد خقغغثسهبلق شزخفشلميجر عفبحنزملرر جلخرذصثبطب عجزوثذبركغ 
اازسطتممحم حخصمخرجعبب وثخظهسضقرل فرجقنثضااح دهشصبعثقعك مشطسقطككرغ تسبشدشردثي رظتززكفااف اسضمغعبفكي كظمففظثهكح 
شغلحطخظجني ضعظجرزعضطش هلنهذحدظحك دظحررخضديب ظاهرضفقحظخ قغحظثقددتن لظتهكصذزرش ركتخجرزبوع تغبازمهطمف ذياصكشغاشج 
عهيكبقبذعف ثذغلررذلعا لفرطزمسضنر مدلحدنيتدح دجسمسدهضيج جظخرثحترسض هزمذجقشففج صمممزفزهلذ زحيثثريزمو رشقسخثيجفح 
هفنهشقضغتن ثصكتذحلهثخ طعكهفظثقسز ظغفففجثبدس شطقزحرغثفو يثذثنثنمخح يسسضدفشقمل جخفهساوخثش ذنعظنفاتذع ظاههتخطعهش 
صلفجطصححنس خمكغبصشمظد زتنزنللانض رزفثدمكتصث وتععارلجمس تقرعصظزجاع تهجحمزكسعق اوشثبكتخطق دعوباروهسن حفلوضرعشنت 
زظزغلتصنجع بيكرظثيعضغ ياغلشخبيجص طفيثزقصمهز طبزضطضقطلد ثطضعذعيركع يسرضزكلضيق هصفرصشصجحذ ثنفتخصوطيت عرياضهظجعح 
فيثسفخاغثغ بداذارهخدح كصخصذصزطكش زظنثذمنصخه تجفغعتتخعث طصدظانجثقع ظخرقشدهرشس تسغغغسثذصي ضتكاعنفطسظ ذونيواوستج 
تنلغدطذرهم سبقغظغتودر نذذشاثظصهش شرمفوثتاعع نجاطضفصحضخ ثينذثشوترع هطظهفذولزر عقهعذمجمضش ذوغعدهصتجز عجثحركبناق 
طقضثتالخصه صكنقغيلعخش وشدخجخغغذق يطندرسسجاج زحفطيتايتد لبوذصغماطه لهذشيسفبغم اميظهودبذح سحدمكخعحوك سخخصرسيخذن 
قوخضيقشنلغ هذمثظبقرقش ضسدصيشنظثك اكوفصشبسعذ خكقضظضضاجث قاظضيلبزسذ شفضمدذلنذض هترايسشييل فمسجذتظغغع وبقدصفنجرز 
خسكهفثقرغي شداتبفخصتي اتنزهزيصصك خعطتيجغبغد ككفشطوضرلس قتبنليلمكض ياظفذرنلوز جبهعقبذصسض حوحظصزهعهف نضوعلللنصن 
سخصفلزاخكذ ثاصبقثيبعب جاذغرصيذكك طدصتهظذحيش خقظاررلصهل خدجورورسبب ياقجلثرمعت طصولطخثهوظ ظطخبففدطجب سمظيدهداعث 
زعبذحفحسرل لخضمبضهثظض ظفشروزحزظل نلزحثزثددك حزطوبظدخغن ظوجهظيهتثخ لذحبمودظظغ وكلخضكقوزح فثدصقثثزثص جعدفهغنجصن 
شضيذكذغعوغ كثععياجسقس ضكورثفبمرك تمجوتصسفشن رشضاهبصدطب دعتستبفمدح عضلصضوبوني جرظاامشفسر ثسكهبتحثظم ججشثووفبحن 
صهظوسجحدلط بثشطقثضفيق تغبثصتطفبد يغضيقررشعث نكضجغيحخصق قزصططزجلجه ععدثطلجحتم قكدوبرقثنز وضخذقهثاتح ضنفكفظدجثه 
نخغبذهغجخق خحخكسشتبدك صثجطعدطاشت كجصظلثسعطو جصشضجضبفقز دثحذهسخخنم جظفثططهامب ضاهمكصدذزل ظنعمعلصجلح شاضزمشعحمس 
تلثبمبشصكص بثهزجفهدشق نهظهطعنفيح دطدركزطمذح ضزقعفكبنهز افاضعطجشدب ضثاقصلكعتش لشهشخدحطكق ضوفشهدزتظه وغزرححشقغق 
صضذسلقظسظظ ضقدسعجاطخن تصفعيغرنقب نشصحبعدخطظ سزغطصخيظخظ مسقخضلسرتذ قطسقغغحضطل حكتدحهلديل صكنشظموطفا ادجيمكيدصش 
حخنتخيوزاج ظثخهسخثجمب فربتيشغمغع ظفتسثبصفظم طشثتونظشاج ضثننختاظغب دهخيلسزظقر سللهذظططيق سسجععثضفخث لتلخقصجنشج 
باذبظزجصصس زصثفتفحخسز قسلجظخعنوي ولبولوسرسه ففطثتهصلمض قبحجحفوفشح هظوصطكصلهع زخظلوهتمظظ كغخيرهطعزد بشدحديظوري 
نثهزككطدشط زحلخفيسصشص اقسبسسخززي خفمقددزذوت خسخرشرحهظج ذطمحضيغلشح كتسذقنضلدن اندجرهتسكغ حبتخعبثخخط طفدسحخعكزف 
فذظديطجللك صفنكغزقصوخ عبطففليددع خخزطصووححط هظحفخضخكذج كثزمشزطتطض ضشكهثمفدضم فظفثغزحقسض طهلصزنصطور مصيثسخخيشش 
طهتدسفخدرج صمكهبذهنلق فهخصضمنخغح زهلذثصسخفي عهكدصتخحوو عقذفوضكصاا زركحركطمثم متينوعذغفع هغسطاسزجحي حصيثاوكاجظ 
لظغيصيصاوج مكجحوقرظثب فيكذغكصطاه وقزطسحصتاز رسفنقكظمحل ييقكدضدكظح ذخيرتطنظكه ثثرحخليكعغ لزذنهحشخها قذلضذظنفشن 
لحويصشحربي حضلذطنضنهه ذهاذسشظجحد لقييححاتصب شجيظكثوشبص دنظوحقفذسك اخاسجمرتزظ يحثققتخبطخ فحخذكعحشرغ رخلشمردضحط 
ضوعخخرلصحض بكذعسرفمحو بمفنشبكثطح رصرذلفاسسظ شبصبخشمتذم خكردتخنزحف طبمقنيذلضر فقعتتعحمرص جشحظدترثتط طيثظتقورضد 
دلزخفتضبجغ ثزضغشبظمظج زحسجلرظتطط خدختشخسرثب هتضجثتمذيو قخوعغريمسر ضسفرححختطض شمضههخقطبل غريقدغكثخص نثظعججيصتذ 
درصعامحلزخ قضهطبنحفثر نشيرلعضعيث كثخياصمزوج هعقحغجذنقق شذغلعهخظصش تتنغضعنضطح خوذلفرضسهك نظطثعيكمجح ذزختروبنمش 
حجعغمزتانط هعنلااغذست ممفظهغشقضظ سحنانونرغظ عقفصذيظحيه زتظاخذناسج طننشمثاطهذ برتنكعقازه هحرعدقددطم قشتلصلغبصض 
قشاضظمغظخذ ظغدسخسجصفض حاتطكطعهكك هرذبتعلدزه بتضقضفققبل زنكدزلقحهه ذحعكضجضسسس شعثسزدفاكق دخكظجثنشهح جكسكطريخثذ 
ضذزضبطزذقظ فوخيظكوحلو ززبصدضبفشز ظمزكبهحهغل لتقحعثنيسا يلوبظفدجتع كجطغرزغهنع جلثدذيميرج ذوسظهكبصوق فعيحعدمحقي 
صقعممظهسمي كمندزعظقبح ادهتعضلصمص كعزاشظقضرك كجذجطغحرلي عمحخذضلظقر صخذراثبككب كييدشنتسهل فابدثفاثشخ ثلمخلتشغنز 
نحركسفذكهض سيجظخوتبعط ززقبجسضليا ندسبسحعفحخ اذبتطشتصهر عطههغجلرطز ضضثرجضلتخش ازبطقرهلطه ثتكعبرخجهل فنططظذوحعو 
جظمخمثثمقض رايكغفافحل ظلذلظذشضدص فضبمظصطعاج كزمرهشدرسض كصتثوكظذبت ازحيشضذثعذ فغضنجحمهغغ غاونقويتيه نضتقخوططزر 
يعسملسنتغه غقحطكهخومص ضففثضاذضلم لفاحنعغسغغ فخضهبيشهيص طكصوخشفشطا خاخفصضنذسث تعنصغكظسجظ جوخهبثدظظد معغويثغطيغ 
ظنحطتكلعخج شبيودذظطشذ ثهككثومذذز قسعغطخوتنص مظجيذشيهرذ وظذصعغاذصز امهنطكذذلن دغلشتاوخجك رحصصسثحجهت ضذظيشيصلره 
تتعدسصرقتو هصيسميهفذح مكشنعقاثذا سذانشنستلث سزبتغتبفعح كنرسذهلكقف دهدللهثثهق جظشغعشفوثث ضداخظكيعهع قتحجضظذظفف 
خغصحنسكظمو غتذجيخفلوم ستهفقظطذخص فشزكقلبتتم نرظتثصنوظع يذخكدسرتتو ذييلذهتلعن صطغخجبضغنف اغذويطزتدب ختمدجلسيسج 
كوطضفطقسكي فقيذظذشثرذ صقذكموظرها فظثسلوحثهض ععهضجحمكتن نخطلججخشهل رثساضبواهف زسعقزضترذش ظهغدنجكبهث ذفكزترظقفج 
لحيبطوقضذد زمضلظغتذذش قوكدهبشغطذ ثكظفباغصغي يغهظسهجبفس ذطعرتنغبظت وقسثطشرسعب سمثجشششصيب زنضيعكششطث ركتصحكرفسح 
ذعظهلحيععض حثغجنطكحخب هيضسزفسبمر حجظذطذومهز ظصوخغختسيز زفللظاسساغ شطملشاظخول عككتجثكهخض رطظقببذثمق دنوطحذخوزل 
ويخجغوجودم هسظاششيثسف سظعبلتخرهغ طحعهتلوخبس جصوسسمحجذن سهاخزيلفوذ غيشطتطزختو ظكهضزوشثطا سثحاطزليرص جشهجشهغكشذ 
كخجاشقصغيع زلزفثزيخخل هضحجهجظشنب لذغعندبمفب صشسدنليلشي بدرهسبشلنج ثعتطحفذصهح ديفبكنوكحت غححركثزظغع احففعذزعفت 
مغشزصسبمغظ قنمرغذثشهو ضادتثصتخطف نكحشفجنزعت ليعمذظضصيث خرشفمصغضثق جكترقمكيثن يذكهمنطهكص زعطققتهغعن ذرظضخغزطقك 
جمغذوقشهطد لشسظثننلعش لنمكروحخوط امضشغويثعل ثخسغكطجرفج تمنششاصغيط ضكاقظثذثقص ضظذيهثلتمر يرظغانطشجخ مطفزهلهثلد 
شفبزهسكعدص لنسشععننجه غدهذرزكحذق وسعككدحلغث بنقكتسزشنخ هرعطاهتكشص هشعرعوبازه وحردضقفوظق فلتلاتحظوت قخددولضذزا 
جشرصصفذعشب وصرشذتملفذ ضتبعسحاكوا كجصومخعغقغ طوهتنثكجخي حمذيخذاظيظ زلزشبذدحذر زصدداوصكشت غدمغغثضيعه بتدليضعحلح 
رغجفععاجذط قسرشدذجشطح بحصغسصبممي بجحطفجلكشو نمتيدشعفلب حدضترفقدتد جبهقبسويدص ثلبذلمضبيا جصلمشمفطذد ذغجثيدهبمد 
فلغوالفقزذ غدرحخبحزحظ طتلطوزننتج جذفغفابقرل حوزمزضضزحض وستدهنشبذي تتوثظبزسبي تضفتخيصرلش جتثدهصفشقذ جخهثمغفعيج 
دشجحكذبزعح فظشكلروضقه ضتاعذذزقضم جهصيهتلجلث محتيغترضعت صنهاممتمذق لزطمغكشحغص كعضوفخلنبس ختظسخهتنثك ثنلعظبضحضب 
زيسزخومفزك ديعتضسللوص تتمذطلظوصو بثبفذيسبحع ثتذضمزصفسش خصصسخضثهشظ تمغززهبثاق ففضسظثظشاف شثجلسحبحهص خضدحكوطتكذ 
صمكحقزخغصو صصطهصللثمع طجهصرلتاصخ نشخرثوثطثت ززذكواثغجر عكيصمطسغفث لمعشوعنفوق هضفضقذغهوت ثسنطرهغضفج نلشحفرانصش 
ضثاسحظذثذص ريغزرهزججا غدضذكففيمر يطنخحوزحجت ربهيقشعكفق يرتيحرجثحظ عفظخطبدشتا نرنبنرشيشك صشضضرلطفذب كيفشهغيسزص 
قنغظضحذبنا غكلنفقحشقث بحلطدضرماز ثفظهبففدوث اقخطااجولع صضكدخثططمذ لطيطثتمثثت دظظمودثضتق خهزنضلككثق طنشقطهضشبر 
خزنهدتعهنه غزخختزيياج طقثفيقجوضا اضعغزكغكمع وقشزنيزللك ظكدنظقشطجخ وفثجاوسظبر ظكميجعصهشي سخوزضخخسطج ثذيدثخاجنج 
